Untitled,Untitled 1,Untitled 2
0,-4.070961,0.167155
-0.2,-4.086071,0.168523
-0.4,-4.085369,0.170316
-0.6,-4.091411,0.166808
-0.8,-4.097163,0.164813
-1,-4.102795,0.177931
-1.2,-4.106678,0.168515
-1.4,-4.117865,0.165101
-1.6,-4.125686,0.160957
-1.8,-4.131843,0.161043
-2,-4.139549,0.159441
-2.2,-4.14811,0.160399
-2.4,-4.153255,0.160974
-2.6,-4.158906,0.16189
-2.8,-4.165736,0.160202
-3,-4.178978,0.157064
-3.2,-4.182662,0.161815
-3.4,-4.188787,0.161075
-3.6,-4.196444,0.161525
-3.8,-4.205999,0.155413
-4,-4.209446,0.156717
-4.2,-4.215673,0.153253
