Untitled,Untitled 1,Untitled 2
0,-4.078461,-1.043281
-0.2,-3.093577,0.141773
-0.4,-2.60627,0.12193
-0.6,-2.296908,0.106626
-0.8,-2.076666,0.097772
-1,-1.910149,0.09091
-1.2,-1.77794,0.083414
-1.4,-1.669526,0.078489
-1.6,-1.579061,0.074229
-1.8,-1.502142,0.070038
-2,-1.434714,0.071765
-2.2,-1.376026,0.067148
-2.4,-1.324163,0.063254
-2.6,-1.277426,0.060005
-2.8,-1.234695,0.059572
-3,-1.196782,0.056236
-3.2,-1.161333,0.054739
-3.4,-1.129537,0.054044
-3.6,-1.098989,0.056172
-3.8,-1.072053,0.050909
-4,-1.046792,0.050751
-4.2,-1.022549,0.050123
